tweet_id,favorites,retweets,user_followers,user_favourites,date_time
710609963652087808,4473,2182,9208010,146963,2016-03-17 23:33:12
710588934686908417,4217,1716,9208010,146963,2016-03-17 22:09:38
710296729921429505,2226,677,9208010,146963,2016-03-17 02:48:31
710283270106132480,2016,486,9208010,146963,2016-03-17 01:55:02
710272297844797440,4186,1159,9208010,146963,2016-03-17 01:11:26
710269109699739648,2218,1029,9208010,146963,2016-03-17 00:58:46
710153181850935296,2708,823,9208010,146963,2016-03-16 17:18:07
710140971284037632,2549,814,9208010,146963,2016-03-16 16:29:35
710117014656950272,5074,1805,9208010,146963,2016-03-16 14:54:24
709918798883774466,3260,1004,9208010,146963,2016-03-16 01:46:45
709901256215666688,613,95,9208010,146963,2016-03-16 00:37:03
709852847387627521,3261,1104,9208010,146963,2016-03-15 21:24:41
709566166965075968,3292,1089,9208010,146963,2016-03-15 02:25:31
709556954897764353,3056,987,9208010,146963,2016-03-15 01:48:55
709519240576036864,1399,220,9208010,146963,2016-03-14 23:19:03
709449600415961088,2041,525,9208010,146963,2016-03-14 18:42:20
709409458133323776,2451,629,9208010,146963,2016-03-14 16:02:49
709225125749587968,2230,527,9208010,146963,2016-03-14 03:50:21
709207347839836162,11537,5247,9208010,146963,2016-03-14 02:39:42
709198395643068416,2291,593,9208010,146963,2016-03-14 02:04:08
709179584944730112,1873,616,9208412,146963,2016-03-14 00:49:23
709158332880297985,1891,373,9208010,146963,2016-03-13 23:24:56
709042156699303936,4377,1496,9208010,146963,2016-03-13 15:43:18
708853462201716736,1679,599,9208010,146963,2016-03-13 03:13:29
708845821941387268,2763,815,9208010,146963,2016-03-13 02:43:08
708834316713893888,1571,460,9208010,146963,2016-03-13 01:57:25
708810915978854401,15379,6328,9208010,146963,2016-03-13 00:24:26
708738143638450176,2569,751,9208010,146963,2016-03-12 19:35:15
708711088997666817,2360,651,9208010,146963,2016-03-12 17:47:45
708479650088034305,2366,626,9208010,146963,2016-03-12 02:28:06
708469915515297792,2881,738,9208010,146963,2016-03-12 01:49:25
708400866336894977,14797,9181,9208010,146963,2016-03-11 21:15:02
708356463048204288,3335,1215,9208010,146963,2016-03-11 18:18:36
708349470027751425,2205,681,9208010,146963,2016-03-11 17:50:48
708149363256774660,4019,1426,9208010,146963,2016-03-11 04:35:39
708130923141795840,3134,790,9208010,146963,2016-03-11 03:22:23
708119489313951744,2501,904,9208010,146963,2016-03-11 02:36:57
708109389455101952,1815,509,9208010,146963,2016-03-11 01:56:49
708026248782585858,4099,1771,9208010,146963,2016-03-10 20:26:26
707995814724026368,2900,1024,9208010,146963,2016-03-10 18:25:30
707983188426153984,46,2,9208010,146963,2016-03-10 17:35:20
707969809498152960,2512,877,9208010,146963,2016-03-10 16:42:10
707776935007539200,3040,878,9208010,146963,2016-03-10 03:55:45
707741517457260545,2311,560,9208010,146963,2016-03-10 01:35:01
707738799544082433,3769,2230,9208010,146963,2016-03-10 01:24:13
707693576495472641,3156,920,9208010,146963,2016-03-09 22:24:31
707629649552134146,2385,795,9208010,146963,2016-03-09 18:10:30
707610948723478529,15790,5799,9208010,146963,2016-03-09 16:56:11
707420581654872064,2090,639,9208010,146963,2016-03-09 04:19:44
707411934438625280,2137,551,9208010,146963,2016-03-09 03:45:22
707387676719185920,3247,1156,9208010,146963,2016-03-09 02:08:59
707377100785885184,3043,989,9208010,146963,2016-03-09 01:26:57
707315916783140866,2308,588,9208010,146963,2016-03-08 21:23:50
707297311098011648,2605,718,9208010,146963,2016-03-08 20:09:54
